date,state_code,county_name,fips_code,acute_staffed,acute_occupied,icu_staffed,icu_occupied,ventilators,ventilators_occupied,covid_confirmed,covid_suspected,covid_icu,covid_ventilator
2020-04-05,NV,Carson City,32510,164,100,24,8,22,8,0,0,0,0
2020-04-05,NV,Churchill,32001,25,13,2,2,4,0,0,0,0,0
2020-04-05,NV,Clark,32003,4784,3048,593,476,694,383,0,12,166,55
2020-04-05,NV,Douglas,32005,23,6,4,1,4,0,0,0,1,0
2020-04-05,NV,Elko,32007,0,0,0,0,0,0,0,0,0,0
2020-04-05,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-05,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-05,NV,Humboldt,32013,25,16,3,1,3,0,0,3,1,0
2020-04-05,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-05,NV,Lincoln,32017,4,4,0,0,3,0,0,0,0,0
2020-04-05,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-05,NV,Mineral,32021,11,9,0,0,1,0,0,1,0,0
2020-04-05,NV,Nye,32023,25,19,0,0,6,0,0,0,0,0
2020-04-05,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-05,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-05,NV,Washoe,32031,1240,828,140,78,207,43,0,35,22,17
2020-04-05,NV,White Pine,32033,25,7,2,0,5,0,0,7,0,0
2020-04-06,NV,Carson City,32510,240,84,23,15,22,7,0,0,3,0
2020-04-06,NV,Churchill,32001,25,15,4,2,4,0,0,0,0,0
2020-04-06,NV,Clark,32003,5094,3288,621,486,751,426,0,31,188,148
2020-04-06,NV,Douglas,32005,23,6,0,0,6,0,0,0,0,0
2020-04-06,NV,Elko,32007,75,75,7,0,6,0,0,0,0,0
2020-04-06,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-06,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-06,NV,Humboldt,32013,26,11,3,1,3,0,0,3,1,0
2020-04-06,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-06,NV,Lincoln,32017,4,2,0,0,3,0,0,0,0,0
2020-04-06,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-06,NV,Mineral,32021,11,9,0,0,1,0,0,1,0,0
2020-04-06,NV,Nye,32023,25,13,0,0,6,0,0,0,0,0
2020-04-06,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-06,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-06,NV,Washoe,32031,1325,892,156,82,202,48,0,35,26,19
2020-04-06,NV,White Pine,32033,25,7,2,0,5,0,0,2,0,0
2020-04-07,NV,Carson City,32510,188,82,24,9,22,7,0,3,3,1
2020-04-07,NV,Churchill,32001,25,18,4,2,4,0,0,0,0,0
2020-04-07,NV,Clark,32003,5520,3619,650,509,795,454,0,43,213,161
2020-04-07,NV,Douglas,32005,23,8,1,1,6,0,0,0,1,0
2020-04-07,NV,Elko,32007,75,4,7,0,6,0,0,0,0,0
2020-04-07,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-07,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-07,NV,Humboldt,32013,25,11,3,2,3,1,0,3,1,1
2020-04-07,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-07,NV,Lincoln,32017,4,3,0,0,3,0,0,0,0,0
2020-04-07,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-07,NV,Mineral,32021,11,9,0,0,1,0,0,1,0,0
2020-04-07,NV,Nye,32023,25,13,0,0,6,0,0,0,0,0
2020-04-07,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-07,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-07,NV,Washoe,32031,1060,709,128,57,169,51,0,41,16,12
2020-04-07,NV,White Pine,32033,25,9,2,1,5,0,0,2,1,0
2020-04-08,NV,Carson City,32510,188,84,24,7,22,10,0,43,0,10
2020-04-08,NV,Churchill,32001,25,19,4,0,4,0,0,0,0,0
2020-04-08,NV,Clark,32003,5648,3658,665,526,817,440,0,51,201,159
2020-04-08,NV,Douglas,32005,0,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Elko,32007,75,5,7,1,6,0,0,0,0,0
2020-04-08,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Humboldt,32013,0,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-08,NV,Lincoln,32017,4,4,0,0,3,0,0,0,0,0
2020-04-08,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Mineral,32021,11,7,0,0,1,0,0,1,0,0
2020-04-08,NV,Nye,32023,25,13,0,0,6,0,0,0,0,0
2020-04-08,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-08,NV,Washoe,32031,1255,723,156,74,201,53,0,127,31,27
2020-04-08,NV,White Pine,32033,25,9,2,0,5,0,0,2,0,0
2020-04-09,NV,Carson City,32510,188,93,24,13,22,0,0,43,0,0
2020-04-09,NV,Churchill,32001,25,20,2,0,4,0,0,0,0,0
2020-04-09,NV,Clark,32003,5405,3481,651,505,783,409,0,43,176,126
2020-04-09,NV,Douglas,32005,23,5,4,0,4,0,0,0,0,0
2020-04-09,NV,Elko,32007,75,8,7,1,6,0,0,0,0,0
2020-04-09,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-09,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-09,NV,Humboldt,32013,0,0,0,0,0,0,0,0,0,0
